,bathrooms,bedrooms,latitude,longitude,price,num_photos,num_features,num_description_words,created_year,created_month,created_day,manager_id
115275,1.0,3,40.8198,-73.9578,3250,0,4,1,2016,4,12,62826f3ae01f2ddc93b9cd28c659ab2b
115276,1.0,1,40.7491,-73.9789,3100,7,4,103,2016,4,9,6e5c10246156ae5bdcd9b487ca99d96a
115277,1.0,0,40.7441,-73.9964,2350,1,7,81,2016,4,8,66ee1dbaeebf768e478c9a86d2e8b4c7
115279,1.0,2,40.753,-73.9959,3295,7,12,146,2016,4,7,03a4fc35175366d742f77d25dcbc570d
11528,1.0,0,40.7267,-73.9837,2000,5,2,90,2016,6,3,49fca5f045bd015986d37db8acfd790d
115282,1.0,2,40.7388,-74.0018,3800,11,0,90,2016,4,2,f4998a041496eaa54b16339d4b0b3045
115284,1.0,1,40.7327,-73.9931,4175,5,3,42,2016,4,8,711e35efeccf6dba7e35936ff483b26c
115286,2.0,2,40.6529,-73.9567,2600,0,1,9,2016,4,7,8f5a9c893f6d602f4953fcc0b8e6e9b4
115292,1.0,1,40.7943,-73.9419,1550,5,0,85,2016,4,8,f854a175bb0ded36cee7f7c3ce930074
115295,1.0,2,40.8028,-73.9647,2700,8,5,148,2016,4,6,30a7951cfc21240e8c46b2d079d292e5
115298,1.0,2,40.7366,-73.9933,4100,3,5,116,2016,4,27,f403f02183c46e92f0d690db49085c38
11530,1.0,3,40.7729,-73.9485,5100,7,3,75,2016,6,14,9d32b720e26a351b951c8f78f72f2fec
115301,1.0,0,40.7053,-74.0161,2630,0,5,7,2016,4,18,2c91f19efb8d577f12c026e9229b5acd
115302,1.0,1,40.7568,-73.9982,3200,9,14,107,2016,4,12,c76c699bbebafa044318cc4242de71b8
115303,1.0,1,40.7091,-74.0182,3650,5,5,129,2016,4,2,4ccafba721db54b92d97c0af85847c02
115306,1.0,2,40.7793,-73.9492,3600,5,4,62,2016,4,16,2e6ea7edc29e01efafb7e1c22ee10c9f
115308,1.0,0,40.7328,-74.0089,2500,5,3,35,2016,4,16,f1e4ee51ab6974e8f9b71c25eced35b0
115309,1.0,2,40.8622,-73.886,1375,5,3,61,2016,4,28,119d9b577a2506cd7348d01fd5d0830b
115315,2.0,3,40.6969,-73.983,3625,7,16,58,2016,4,20,501b52559fd21b32808030a0f4fb1a26
115316,1.0,1,40.7609,-73.986,3935,9,11,82,2016,4,20,48da4647746078e946b008a561123653
115317,2.0,2,40.7437,-73.9851,7000,9,8,99,2016,4,21,d2bce61e0e0079ebdc8c281e415e045b
11532,1.0,2,40.8379,-73.9426,2000,3,0,32,2016,6,15,8bc1f9d891f33bc4a05cac58b38ff354
115321,1.0,3,40.7594,-73.9712,4000,5,13,87,2016,4,15,1fb46c4a72bcf764ac35fc23f394760d
115322,3.0,3,40.7406,-73.9809,4995,6,3,93,2016,4,29,9df32cb8dda19d3222d66e69e258616b
115323,1.0,2,40.7937,-73.9761,3050,8,7,95,2016,4,19,dd6b488d74624d64a0ba4767d990da83
115325,1.0,0,40.7688,-73.9539,2050,0,8,37,2016,4,11,13ff36e69fce77d5c15960ecc277cd89
115331,1.0,1,40.7778,-73.9781,2945,5,7,91,2016,4,25,e6472c7237327dd3903b3d6f6a94515a
115332,1.0,0,40.7681,-73.9544,1825,5,2,115,2016,4,17,407ffad8d323810a4712d1446d5ad457
115334,1.0,1,40.7536,-73.9739,2400,8,5,59,2016,4,30,3ca41875dd95b256a1ecc858b9992909
115339,3.0,3,40.7721,-73.9861,15000,10,14,170,2016,4,5,c9c33695ee2a2f818e9f1d8f7d1c4b39
11534,2.0,3,40.734,-74.0046,6495,8,4,25,2016,6,5,325c9db6be07ea0cff04041bacb8ac0d
115340,1.0,0,40.7609,-73.9941,1995,5,2,102,2016,4,30,9d4e9396e7e256947ac6242aee963d88
115342,1.0,0,40.6782,-73.9815,2100,5,1,28,2016,4,24,c48be4d7b7f3329719439b7b23b52ba9
115344,1.0,1,40.7471,-73.9416,2721,8,0,42,2016,4,16,e6472c7237327dd3903b3d6f6a94515a
115347,1.0,0,40.7274,-73.9807,2299,5,2,166,2016,4,6,e384b5da0ca76f41ca6d1412b984b6a0
115348,1.0,1,40.7761,-73.9541,2350,4,4,123,2016,4,13,fcf67d5c4433feefe6b9e7f7551f4334
115350,1.0,0,40.8587,-73.9303,1550,2,1,45,2016,4,4,fb0f7c32dd8e72883397bb11f3591a63
115355,1.0,2,40.7491,-73.9789,3700,4,5,172,2016,4,27,9d32b720e26a351b951c8f78f72f2fec
11536,1.0,0,40.7777,-73.9498,1900,5,3,108,2016,6,10,94db062fa1178ab999bdd777dafec65f
115363,2.0,2,40.7452,-73.9916,6395,14,3,49,2016,4,17,8fbf86e97490aac778c3b5fb457e431a
115366,1.0,0,40.7729,-73.9504,2100,3,3,97,2016,4,15,d399821d8583b8421a55370c6eb15f6f
11537,2.0,2,40.7176,-73.9531,4999,12,16,146,2016,6,21,b97117e40a460ef017b068d4db1dc078
115371,1.0,0,40.7054,-74.0095,2925,8,11,105,2016,4,6,8128a59a1646a554a34a76e5f1b77b9e
115374,1.0,2,40.7528,-73.9709,3995,5,5,112,2016,4,6,c8b10a317b766204f08e613cef4ce7a0
115375,1.0,2,40.739,-73.9821,3775,7,2,78,2016,4,19,12c3a2f5c3299f3e3a26c192f52e61ad
115376,1.0,1,40.7718,-73.9508,3075,4,10,44,2016,4,9,c671e697434aa710888b0632eb2c6145
115378,1.0,1,40.6405,-73.9566,1550,0,3,2,2016,4,10,2f9835382bab727f99bfb0519a776650
11538,2.0,2,40.6931,-73.9929,4450,2,5,94,2016,6,24,fb3ae4901ee8f66eed9ab6c43465a8a9
115381,1.0,0,40.7349,-73.9863,2600,6,6,109,2016,4,30,c224f0c13e8bb14e79409501911fce73
115383,1.0,2,40.7227,-73.9891,2600,6,0,46,2016,4,7,c71cf1f472cf9b4b4517ea23fb6f2c91
115386,1.0,1,40.7394,-73.9809,2350,5,4,83,2016,4,5,25c47e79395288509330606bca79f6fc
115387,1.0,1,40.7009,-73.9188,2000,6,0,21,2016,4,18,5ba989232d0489da1b5f2c45f6688adc
115388,1.0,1,40.7976,-73.968,2300,4,4,153,2016,4,15,d0f2082e8b795095061785ef5e8ac9e7
11539,1.0,0,40.7482,-73.9759,2350,3,10,42,2016,6,15,8cff0ed4008123c11edaf3af70cef922
115391,1.0,2,40.7656,-73.9885,3450,7,10,164,2016,4,20,e5e91eb9c964643e39094535865f391e
115392,1.0,0,40.7602,-73.9689,2875,6,5,64,2016,4,27,048acbf4a5607347161b3b1fae86c073
115394,1.0,1,40.7286,-73.8487,1900,7,8,109,2016,4,9,a10db4590843d78c784171a107bdacb4
115396,1.5,3,40.7656,-73.9905,3950,8,9,79,2016,4,29,e1c98bf7f1a044ec4df76abee5f0f5e6
115397,1.0,2,40.7271,-73.977,3650,6,1,112,2016,4,11,119d9b577a2506cd7348d01fd5d0830b
115398,1.0,2,40.7465,-73.9803,3195,7,6,133,2016,4,2,dbbb6b990661b1e507a387f019bcb1a0
115399,2.0,4,40.718,-74.0112,5995,7,8,116,2016,4,27,38b9b12248c3606e54559a4c8e4f50d6
11540,1.0,3,40.6444,-73.9936,2400,12,0,49,2016,6,16,324631e1aacaa41bc4475f879756bbb6
115403,1.0,1,40.7778,-73.978,3150,10,6,86,2016,4,19,8d425b08cdf4dec134bf5b714ebac267
115404,2.0,2,40.7838,-73.9535,7350,11,5,96,2016,4,16,bf4bace5b07506d384aee0ce98896e93
115406,1.0,2,40.7701,-73.9067,2495,5,4,139,2016,4,2,ee2f5b3bec0bc7b4dea47b57428861e3
115407,1.0,3,40.737,-74.0016,6095,11,2,251,2016,4,24,2645da97a81bfe1f4dbb98f3f4e167e0
115408,1.0,0,40.7047,-74.0076,3872,18,5,9,2016,4,14,4e8b7564d9b9353ac4464ad62cffa221
11541,1.0,3,40.826,-73.9519,2500,8,14,98,2016,6,16,2a4e0d2668fde3afa267d312b3a2a9d8
115412,1.0,0,40.7645,-73.984,2865,3,10,58,2016,4,11,8262449f40e9117f7a9ea49b4a333993
115413,1.0,0,40.7602,-73.9689,2800,4,6,28,2016,4,7,7c5e4fc025b70c6540d6b0e06716b9dd
115414,0.0,0,40.7621,-73.9638,1850,3,3,4,2016,4,18,adc78551023267957c70b48c5c52ed75
115416,1.0,2,40.8217,-73.9486,2500,5,4,67,2016,4,12,a61e21da3ba18c7a3d54cfdcc247e1f8
115417,1.0,0,40.8198,-73.9578,1660,5,2,108,2016,4,28,e6472c7237327dd3903b3d6f6a94515a
115419,3.0,4,40.7639,-73.9808,5800,7,13,123,2016,4,26,e6472c7237327dd3903b3d6f6a94515a
11542,1.0,0,40.7706,-73.9501,1950,8,5,93,2016,6,1,136b844f49c4eae017d6cabe8ca03b9d
115420,2.0,2,40.7681,-73.9527,6500,6,14,223,2016,4,27,11fd7aad3722ef1aa1f6950f0414590f
115422,1.0,1,40.7275,-74.0322,2400,4,6,48,2016,4,18,dc1a8b86471fd028498f61346d35f13f
115424,1.0,2,40.7518,-73.9849,3100,5,9,124,2016,4,15,38d72c692c25ba828c02963a9b17fc72
11543,1.0,0,40.7855,-73.9752,1850,4,2,33,2016,6,7,0a4de95e82c122b78494dcea6cb9f44d
115430,1.0,1,40.821,-73.9558,1745,6,3,66,2016,4,3,e483ac9545d8635c7a0caea33ebac687
115433,2.0,2,40.7084,-74.0057,5175,4,10,103,2016,4,7,7926a6d7110757ff84fd6c692f8761fe
115434,2.0,2,40.7351,-73.9755,5581,13,6,67,2016,4,10,dc1a8b86471fd028498f61346d35f13f
115435,1.0,1,40.7513,-73.9862,3300,0,3,2,2016,4,22,076aa3e59defaf0d29a0acccc557acbf
115438,3.0,4,40.7695,-73.9603,11100,4,4,46,2016,4,20,08a6ce64ff416331f2838205f2f23c07
115440,2.0,2,40.7548,-73.9689,6495,17,5,102,2016,4,30,1067e078446a7897d2da493d2f741316
115446,1.0,1,40.7287,-73.9837,3800,0,0,143,2016,4,22,72db53045d9648ddb3023fa80885a49c
115447,1.5,2,40.7783,-73.947,3200,5,4,115,2016,4,16,0319c8009f00e29f3d434c1dd1d25e74
115448,1.0,1,40.7678,-73.9915,4031,5,5,9,2016,4,6,b7ac9ec799257e346e47294cb2539659
11545,2.0,4,40.7062,-74.0099,5300,4,10,109,2016,6,2,30a7951cfc21240e8c46b2d079d292e5
115451,1.0,2,40.7123,-74.034,2960,10,0,42,2016,4,2,c71cf1f472cf9b4b4517ea23fb6f2c91
115454,2.0,4,40.7436,-73.9725,5900,7,14,174,2016,4,12,e6472c7237327dd3903b3d6f6a94515a
115461,2.0,3,40.6866,-73.9588,4250,7,4,203,2016,4,14,5ef6c9a9f22a6f0f612e65edff7f121f
115462,1.0,2,40.8031,-73.957,3000,8,6,63,2016,4,20,be03b3b9e1caa5321ec40c388d7fd7a6
115467,1.0,2,40.796,-73.9742,3100,6,9,143,2016,4,12,e6472c7237327dd3903b3d6f6a94515a
115469,1.0,2,40.7413,-73.9781,3100,6,8,67,2016,4,3,e6472c7237327dd3903b3d6f6a94515a
11547,1.0,2,40.7282,-73.9892,2525,4,2,40,2016,6,1,e6472c7237327dd3903b3d6f6a94515a
115472,1.0,0,40.7766,-73.9452,2149,0,3,85,2016,4,10,a1e232695295a0a1fca1559209baccf1
115473,1.0,2,40.722,-73.9837,3575,6,2,28,2016,4,8,5546ad6e8ea7f292696bec3c1c0ccb2d
115480,1.0,3,40.7337,-73.8476,2350,3,2,15,2016,4,15,c2b3f3c9d1af2bea9f0f7133359568b2
115484,2.0,3,40.691,-73.9667,3695,10,6,248,2016,4,7,e9327c69dd63f065a8352a4093f76fc5
115485,1.0,0,40.7156,-74.0059,4000,6,7,159,2016,4,27,5314d4635a5d2d0ce5af039d5982b200
115488,1.0,2,40.66,-73.9296,1775,0,0,9,2016,4,22,ad62604a358fd1e85222b735804aa69f
115489,1.0,1,40.7163,-74.0042,3650,8,5,183,2016,4,21,b209e2c4384a64cc307c26759ee0c651
11549,2.0,3,40.7027,-73.92,3300,8,3,34,2016,6,2,ef6323ef586350bb4f8dc78d924e856a
115490,1.0,1,40.7641,-73.9883,2350,3,1,53,2016,4,24,17fd2aa530e808f512162a1e5b5bbbd2
115492,1.0,1,40.6871,-73.9315,2125,4,4,76,2016,4,6,e845d8c8aafd8ef2117cf0fa88255641
115493,1.0,3,40.7786,-73.9478,3450,6,5,60,2016,4,2,dbbb6b990661b1e507a387f019bcb1a0
115494,1.0,1,40.7769,-73.9531,3100,4,12,75,2016,4,6,be1a7235af23dd77d0d1029dd5bfa5e9
115498,2.0,3,40.7548,-73.9944,4750,8,14,139,2016,4,20,08abda736d77d880c4e17fbba5db3985
115502,1.0,2,40.778,-73.9489,3050,5,2,27,2016,4,12,85860e99ade732afc385111568f8e602
115504,2.0,2,40.7829,-73.97710000000001,6000,5,8,98,2016,4,7,aa9e353a6b43b125cbc89cb751090a9e
115506,2.5,3,40.7852,-73.9803,8000,12,11,107,2016,4,30,ad3d8ddc52c7e0859b5c6c7f7949c3bd
115507,1.0,1,40.7664,-73.9563,1975,6,1,97,2016,4,11,119d9b577a2506cd7348d01fd5d0830b
115508,1.0,1,40.7423,-73.9205,2050,15,4,140,2016,4,30,b8f7dc94f85a3c19269a9340661fa795
115512,1.0,0,40.7566,-73.9971,2495,4,8,33,2016,4,13,536aaedf27d13fb487c142dae8133211
115516,1.0,2,40.8424,-73.8872,1650,2,1,57,2016,4,12,b82df6d23a7c6c8164ca0893000fc928
115518,2.0,4,40.7605,-73.9678,5000,6,6,122,2016,4,29,1fb46c4a72bcf764ac35fc23f394760d
115519,2.0,4,40.8047,-73.9568,5500,2,4,68,2016,4,19,18b801a90df27a4ea2452b1321a541ab
11552,1.0,0,40.7197,-73.996,1800,4,2,63,2016,6,29,8b212436929412c876b5446189203feb
115521,2.0,3,40.7182,-74.0148,5900,3,13,145,2016,4,30,4acf9a911e931833b6a45c2e539f4d08
115526,1.0,1,40.7619,-73.9609,2750,5,2,31,2016,4,2,ed17ada77c1b94b4fb00d126a0c2ea06
115529,3.0,3,40.7382,-73.9918,13995,7,3,98,2016,4,2,55cbaa6667aed0eb6a7adb43d2f043b1
115530,2.0,3,40.769,-73.9436,4270,13,10,137,2016,4,29,9d3a8dd3eeaf09f0214de38b02c9eb60
115531,2.0,5,40.7297,-73.9753,8274,32,2,9,2016,4,27,8f5a9c893f6d602f4953fcc0b8e6e9b4
115535,2.0,2,40.7327,-73.8638,3112,16,15,300,2016,4,14,b8f7dc94f85a3c19269a9340661fa795
115536,1.0,0,40.7479,-73.95,2325,4,3,221,2016,4,27,3f949681e57d9432679999da9623db9f
115539,1.0,3,40.8,-73.9656,4000,0,2,82,2016,4,18,1133f564d46b8a76c96857ad34fb4d16
115541,1.0,3,40.7425,-73.9789,4500,8,6,105,2016,4,20,c9c33695ee2a2f818e9f1d8f7d1c4b39
115542,2.0,2,40.7182,-73.9639,4805,17,3,15,2016,4,10,a59839097adcf666abedd22ce8a13f38
115543,1.0,2,40.7601,-73.9659,3300,5,4,127,2016,4,17,fe05aab6eeabe8980f88e214088b9232
115545,1.0,1,40.7796,-73.9523,2000,0,1,10,2016,4,6,9fb89dd6389267ed37abbd8d78efcd6f
115546,3.5,3,40.7579,-73.9653,8700,2,10,73,2016,4,28,78fbf286964d4d4c710fa6d103069dc8
115547,1.0,1,40.7445,-73.9687,2499,7,6,119,2016,4,22,c7e40855b1f5085268239c56a94cc79a
115548,1.0,0,40.7213,-73.9822,2100,4,3,72,2016,4,27,e0f4c69279ce5ae6421b39d46303554b
115549,1.0,1,40.7297,-73.9832,3000,8,7,90,2016,4,30,81c2d2e6ad88e2d09d7f9260104f47d5
115551,1.0,0,40.5956,-73.7555,999,3,2,9,2016,4,6,1f744f86c927e6bae893ba6d4041508a
115552,1.0,1,40.7779,-73.9515,3195,6,10,96,2016,4,22,1b737c5bd2a1bbb11388e502a2c5447b
115557,1.0,1,40.7633,-73.9849,3775,6,5,105,2016,4,27,6b1ee996b1c87cd54c6cd92acbef9aac
11556,1.0,1,40.7667,-73.959,2050,1,1,81,2016,6,23,91a276fdb4c7ae5ff56fd0884b5121db
115560,2.0,1,40.7391,-73.9936,4925,10,7,100,2016,4,5,aa316c4ec7bdc5f6d921136f3768d1d9
115563,1.0,1,40.7448,-73.9909,4178,0,4,57,2016,4,27,2e4074b7e0663cb0aa4b2b1c7cad94be
115566,1.0,0,40.71,-74.0143,2365,5,10,97,2016,4,13,42339fa15b8352095da128f1185dc7ca
115569,2.0,3,40.7319,-73.9817,4200,4,12,199,2016,4,19,8ce0dca957ae00f6870a164ead5081f8
115570,1.5,2,40.7751,-73.9787,3880,9,2,6,2016,4,15,a7757817c06dad187884ea71a27079ee
115571,1.0,0,40.7559,-73.9658,2200,5,3,20,2016,4,21,23fe9db389d31048a104bd4686879a77
11558,1.0,2,40.7586,-73.9838,3450,5,7,108,2016,6,3,e6f6c3c18136d0dafd7468b6d4965479
115580,1.0,2,40.6767,-73.9225,1900,7,5,182,2016,4,15,76fe20391bad66c966ef87400207a37c
115582,1.0,0,40.7844,-73.9708,2100,3,1,56,2016,4,14,ea38abfa422bf1c390dd6f2a7bfb3777
115583,2.0,3,40.7407,-73.9822,7900,5,4,62,2016,4,24,44d7222de803009fdead91772ec830e9
115585,1.0,3,40.7447,-73.9741,4595,11,4,71,2016,4,20,d13ddb71931663b61d2c105617d0c9cf
11559,3.0,3,40.7957,-73.9727,7999,7,10,154,2016,6,21,a21c0ea7f452539ee52293a199e40236
115592,1.0,1,40.7424,-73.996,3375,5,5,48,2016,4,30,12c3a2f5c3299f3e3a26c192f52e61ad
115593,1.5,2,40.7356,-74.0057,4395,4,5,1,2016,4,18,64249f81378907ae7cf65e8ccb4bd8dc
115594,1.0,3,40.7056,-74.0162,3150,4,11,255,2016,4,20,e6472c7237327dd3903b3d6f6a94515a
115597,1.0,1,40.8163,-73.9416,2150,1,3,48,2016,4,7,037cb431f3c661b2f7ed4b889f95f3a9
11560,1.0,2,40.8476,-73.9363,2250,5,3,10,2016,6,17,2b6d9435a0e6c4019e5ffcb53389c3dd
115600,1.0,1,40.7439,-73.9746,2150,5,9,149,2016,4,14,f948a6d058c0d51c2b802734f5db9d74
115601,1.0,2,40.7513,-73.9721,3950,4,6,87,2016,4,27,0ed57b5c37f43e77267e2fc69b72d9f5
115602,1.0,1,40.7339,-74.0047,3925,4,3,72,2016,4,9,e6472c7237327dd3903b3d6f6a94515a
115604,1.0,2,40.7258,-73.9889,2900,7,5,90,2016,4,22,cb87dadbca78fad02b388dc9e8f25a5b
11561,1.0,1,40.7694,-73.9509,3195,8,4,61,2016,6,5,36665067f02a1eefb569f8ef049f32fc
115611,1.0,1,40.7255,-73.95,2200,4,0,200,2016,4,21,d79b15cc05b2b30c0c0a3f42a9e31da5
115613,1.0,2,40.7446,-73.974,3202,7,4,102,2016,4,2,53f240454714b223c7aaa73437c24e8a
115615,2.0,4,40.7482,-73.9749,6100,4,12,129,2016,4,3,67dd1ac0e7d040a5e35886697d6a9ffa
115616,1.0,0,40.7832,-73.9482,1850,0,1,12,2016,4,21,5104a9211fa037c2e775da40974e4857
115619,2.0,2,40.7237,-73.9898,4695,7,8,99,2016,4,28,e87ff2abe7d322305fdce11935b07429
11562,1.0,0,40.7815,-73.9471,1950,4,1,66,2016,6,27,ea38abfa422bf1c390dd6f2a7bfb3777
115620,2.0,3,40.714,-74.0085,8300,7,1,172,2016,4,29,9c9516dabd588379be8d23c2bca9bd71
115622,1.0,2,40.8491,-73.9365,2550,11,10,173,2016,4,19,ef349d064ed1eb9d92e7107cc8d90967
115626,1.0,0,40.7053,-74.0161,2584,2,5,200,2016,4,12,b2c4260c7ac8da67dedddf5053e65464
115627,1.0,1,40.7448,-73.9253,2050,7,4,92,2016,4,21,a18b42875cfd943d9fd88383e6ea3904
115629,1.0,0,40.7723,-73.9481,2085,4,2,64,2016,4,5,9d32b720e26a351b951c8f78f72f2fec
11563,1.0,3,40.7845,-73.9498,3995,5,1,76,2016,6,21,4bdc3d8c1aaa90d997ce2cb77680679b
115633,2.0,4,40.7399,-73.9864,6100,1,12,93,2016,4,16,5642b01c61afd6b54601365aedc96b68
115634,1.0,3,40.7406,-73.9809,4995,12,7,97,2016,4,25,d13ddb71931663b61d2c105617d0c9cf
115637,2.0,2,40.7775,-73.9536,3200,8,2,66,2016,4,12,3e9f0fa34d67e5d61aae56776ecb8cee
115639,1.0,2,40.7549,-73.8735,2500,7,0,63,2016,4,30,63c3a69116cae652632b0e80661cd3b5
115640,1.0,1,40.7283,-73.9857,2400,16,0,77,2016,4,24,9d4e9396e7e256947ac6242aee963d88
115644,1.0,1,40.7067,-73.8333,1975,12,3,72,2016,4,7,e6472c7237327dd3903b3d6f6a94515a
115646,1.0,0,40.6491,-73.9449,1325,1,3,30,2016,4,7,456848d13f96dc522e5cf381095caeca
11565,1.0,2,40.7574,-73.9681,3695,4,0,100,2016,6,14,8b212436929412c876b5446189203feb
115651,1.0,0,40.6682,-73.9801,1995,3,2,82,2016,4,11,e2dbe72cec121c609f89e4d7ea127995
115652,2.0,2,40.7461,-73.9947,5200,4,8,137,2016,4,16,ab8c9250b384ccd4867aac5498d9a78f
115653,1.0,2,40.7808,-73.9483,2650,6,6,117,2016,4,22,cb87dadbca78fad02b388dc9e8f25a5b
115657,1.0,0,40.744,-73.9964,2500,4,5,120,2016,4,30,bceb99a75e07af14a0d30676c4f85573
115658,1.0,0,40.7434,-73.9773,2295,2,5,43,2016,4,21,44736fb7de33f8ea3c34c0500e6932c3
115659,2.0,3,40.7267,-73.9773,4800,3,3,89,2016,4,22,a7318e9bd83f6d32ed56b3b1d046b449
115663,1.0,1,40.7451,-73.9239,2150,6,6,30,2016,4,6,a6c64f31e656f343f1b29ddc98ef9016
115664,2.0,4,40.7801,-73.9475,4510,4,10,124,2016,4,15,f44a6215f74f901ac7e326207f2984f7
115665,1.0,0,40.7052,-74.008,4800,0,5,2,2016,4,21,e6472c7237327dd3903b3d6f6a94515a
115668,1.0,1,40.7612,-73.9978,3795,4,9,27,2016,4,17,a5b9c4d7d495b085331f45ac21a34369
11567,1.0,1,40.7539,-73.9677,3700,6,10,109,2016,6,12,a4e0096175a7f299d0f6e67edf143891
115672,0.0,2,40.7752,-73.9622,17500,8,8,119,2016,4,29,cb87dadbca78fad02b388dc9e8f25a5b
115673,2.0,2,40.769,-73.9436,4500,8,9,317,2016,4,27,38b9b12248c3606e54559a4c8e4f50d6
115674,2.0,3,40.7637,-73.9847,4600,7,6,151,2016,4,29,c6dfca01693109b474ca13156e442893
115676,1.0,0,40.7388,-73.9286,1700,6,1,53,2016,4,27,5ba989232d0489da1b5f2c45f6688adc
115678,1.0,2,40.7297,-74.004,3395,2,3,43,2016,4,14,e5b565a992e4b350e76f8fcf99d526a3
115683,2.0,1,40.7633,-73.9596,4995,7,8,62,2016,4,3,11c00e995d6b314daa729b6ab9b9112c
115685,1.0,2,40.7438,-73.9743,3200,4,9,115,2016,4,2,1cd3e112da66cae74fd0860500aa2e6c
115686,2.0,3,40.7679,-73.9237,3529,12,8,140,2016,4,19,47c594f593b791688dfe2ef78b5af674
115688,2.0,3,40.8019,-73.9611,6865,8,10,105,2016,4,30,6e5c10246156ae5bdcd9b487ca99d96a
115689,2.0,1,40.7769,-73.9531,2700,5,5,119,2016,4,8,d399821d8583b8421a55370c6eb15f6f
115690,2.0,3,40.7593,-73.9959,4500,5,12,195,2016,4,21,7a965b50bff7c25d748bb564fe6a825e
115691,1.0,1,40.8217,-73.9455,1700,0,2,1,2016,4,27,62826f3ae01f2ddc93b9cd28c659ab2b
115694,1.0,3,40.6759,-73.9226,2100,1,2,48,2016,4,6,c55f41447269371b42b287c8dadc0479
115695,1.0,2,40.7372,-74.0012,3600,7,0,27,2016,4,12,b8459916140cbfc69344eab991b441bd
11570,2.0,3,40.7812,-73.9483,5400,5,8,70,2016,6,18,ac888923cda3b9e4f0311267be25de9c
115701,1.0,1,40.7316,-73.9839,2850,5,1,62,2016,4,23,c71cf1f472cf9b4b4517ea23fb6f2c91
115703,1.0,3,40.7226,-73.9963,4975,6,9,134,2016,4,19,65322e6138b5aaa5467cdc31a19112f9
115706,1.0,2,40.8163,-73.9416,2100,5,9,187,2016,4,11,b6ea5498ce80f151f5334f675fb10ddc
115707,1.0,2,40.7316,-73.9839,3300,4,1,65,2016,4,6,3e1edc05ca35eaecc90766629d22d078
115708,2.0,2,40.6898,-73.9797,4500,15,10,138,2016,4,29,9e4ef9d8a24f407bf0b355b27f0d9965
115713,1.0,2,40.7516,-73.969,3140,7,8,114,2016,4,6,2983e45f7e0ad87d677dacd13e362785
115714,1.0,3,40.7015,-73.904,2650,7,10,132,2016,4,6,a10db4590843d78c784171a107bdacb4
115715,1.0,1,40.8448,-73.942,1850,5,0,46,2016,4,3,8bc1f9d891f33bc4a05cac58b38ff354
115721,1.0,2,40.7565,-73.9973,3295,5,14,141,2016,4,12,e5e91eb9c964643e39094535865f391e
115722,2.0,2,40.7545,-73.9931,3700,6,12,88,2016,4,5,0cff4a2a147d81e51ae8a91289e129f7
115723,2.0,4,40.7376,-73.976,5500,5,11,95,2016,4,8,1fb46c4a72bcf764ac35fc23f394760d
115726,1.0,1,40.7274,-74.0017,4475,5,4,41,2016,4,22,115e4142c28e8721297bf8d9787357db
115729,1.0,1,40.7639,-73.9894,2400,14,6,113,2016,4,28,3e0c28a1f4b9c11b809ff21dbb920b5c
11573,2.0,2,40.7183,-74.0147,5900,5,5,102,2016,6,4,947aa25eb460bd87a8bc8b14891039c7
115731,1.0,1,40.78,-73.949,2400,4,4,30,2016,4,13,11c00e995d6b314daa729b6ab9b9112c
115733,1.5,2,40.7471,-73.9723,4395,6,4,88,2016,4,12,808c9ddd9e1c67f7f8f779a14dab0dfd
115740,1.0,0,40.7176,-73.9531,2900,9,16,274,2016,4,6,a10db4590843d78c784171a107bdacb4
115741,0.0,2,40.7084,-74.0066,4800,1,1,75,2016,4,11,b209e2c4384a64cc307c26759ee0c651
115749,1.0,2,40.7604,-73.9968,4190,9,8,96,2016,4,29,a3c3d258905dd3a8f11a56b78e0d5059
115750,1.0,2,40.7767,-73.9505,2800,7,2,89,2016,4,13,0a6a21926fc12087cf67f42c6877f317
115751,1.0,0,40.7753,-73.954,2500,3,10,121,2016,4,24,106d5613f7374214df94c720b8768657
115752,1.5,3,40.7488,-73.9734,4785,5,11,100,2016,4,28,4398a550168a2dde02ebd0acefa9e9be
115753,1.0,0,40.8229,-73.9506,1550,4,3,149,2016,4,17,13ddb55a3a9d896b4bcdd538ee0ec067
115755,1.0,1,40.7678,-73.9915,3759,5,6,67,2016,4,26,381040570cc863b743a9fce1a6ae9724
115757,1.0,2,40.7244,-73.9942,4525,6,7,162,2016,4,5,2d94da7b0535231e6675cbf52a7e7453
115758,1.0,1,40.7689,-73.9548,3200,7,3,9,2016,4,23,9b19b9e47e668f606a0b1c8c273eeb7c
115759,1.0,1,40.7301,-73.9927,4250,3,7,84,2016,4,20,932589de9230b697808216774fa26bd4
11576,1.0,1,40.6497,-73.9458,3550,7,5,116,2016,6,20,338c2724a524a39f2cbcea5cdb4a615c
115760,1.0,0,40.7315,-73.8608,1400,16,2,25,2016,4,12,7d0acda2d68c78f983deb384c7c50477
115761,0.0,0,40.7862,-73.9508,2600,0,0,9,2016,4,21,7422eabb4c6c3448c000f7be84e5c1b8
11577,1.0,1,40.7199,-73.9968,2650,6,2,9,2016,6,12,b209e2c4384a64cc307c26759ee0c651
115774,1.0,1,40.7588,-73.9622,3995,0,1,9,2016,4,6,8f5a9c893f6d602f4953fcc0b8e6e9b4
115776,1.0,1,40.7185,-73.9865,2950,7,4,160,2016,4,19,5ec401e31cfa49bd894f6d6e0dd218ab
